location_id,location_name,latitude,longitude,exact_coordinates,geometry,srid
1,Villa Grimaldi,-33.458244,-70.53889,True,0101000020E6100000000000207DA251C0000000C0A7BA40C0,4326
2,Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
3,Medical Legal Institue,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
4,Londres No.38,-33.44432,-70.64819,True,0101000020E6100000000000007CA951C000000080DFB840C0,4326
5,Cuatro Alamos,-33.51607,-70.75135,True,0101000020E61000000000002016B051C0000000A00EC240C0,4326
6,San Bernardo Infantry Regiment,-33.585205,-70.70082,True,0101000020E610000000000040DAAC51C000000000E8CA40C0,4326
7,Medical Legal Institute,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
8,La Moneda Palace,-33.442917,-70.65391,True,0101000020E6100000000000A0D9A951C000000080B1B840C0,4326
9,Chile Stadium,-33.450516,-70.67477,True,0101000020E6100000000000602FAB51C000000080AAB940C0,4326
10,Paine substation,-33.8075,-70.74139,True,0101000020E6100000000000E072AF51C0000000205CE740C0,4326
11,Pisagua prison camp,-19.59667,-70.21222,True,0101000020E610000000000000958D51C000000060BF9833C0,4326
12,La Venda Sexy,-33.48295,-70.58758,True,0101000020E6100000000000E09AA551C000000040D1BD40C0,4326
13,in the streets of Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
14,Chillán,-36.60626,-72.10234,False,0101000020E6100000000000C08C0652C0000000E0994D42C0,4326
15,Calama jail,-22.468716,-68.926636,True,0101000020E6100000000000004E3B51C0000000C0FD7736C0,4326
16,"Campo Lindo agricultural cooperative, 24 de Abril cooperative, Nuevo Sendero cooperative",-38.61668,-72.38339,False,0101000020E610000000000080891852C000000060EF4E43C0,4326
17,Cerro Chena prison,-33.594036,-70.74274,False,0101000020E61000000000000089AF51C00000006009CC40C0,4326
18,José Domingo Cañas,-33.45646,-70.61239,True,0101000020E61000000000006031A751C0000000406DBA40C0,4326
19,"San Juan Estate, located on the road between Laja and Yumbel",-37.17775,-72.56426,False,0101000020E6100000000000E01C2452C000000080C09642C0,4326
20,Valdivia,-39.81738,-73.24253,False,0101000020E6100000000000A0854F52C0000000E09FE843C0,4326
21,Cerro Chena detention site,-33.594036,-70.74274,False,0101000020E61000000000000089AF51C00000006009CC40C0,4326
22,Baños de Chihuío estate (civilian property),-40.12454,-72.38085,True,0101000020E6100000000000E05F1852C0000000E0F00F44C0,4326
23,downtown Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
24,Arica Regiment,-29.90528,-71.23861,True,0101000020E61000000000006045CF51C000000060C0E73DC0,4326
25,Toltén River Bridge,-38.975548,-72.63464,True,0101000020E6100000000000009E2852C0000000C0DE7C43C0,4326
26,Temuco,-38.7359,-72.59037,False,0101000020E6100000000000A0C82552C000000000325E43C0,4326
27,Los Angeles Regiment,-37.457447,-72.35621,True,0101000020E610000000000020CC1652C0000000A08DBA42C0,4326
28,Chillán regiment,-36.60111,-72.08417,True,0101000020E610000000000000630552C000000020F14C42C0,4326
29,La Legua shantytown,-33.48722,-70.63556,False,0101000020E610000000000000ADA851C0000000405DBE40C0,4326
30,Antofagasta jail,-23.653742,-70.39173,True,0101000020E610000000000020129951C0000000A05BA737C0,4326
31,Tucapel Regiment,-38.74365,-72.59228,True,0101000020E6100000000000E0E72552C0000000E02F5F43C0,4326
32,Parral city jail,-36.144253,-71.82249,True,0101000020E6100000000000A0A3F451C0000000E0761242C0,4326
33,Isla de Maipo police HQ,-33.74989,-70.902794,True,0101000020E610000000000060C7B951C000000060FCDF40C0,4326
34,Lonquén lime ovens,-33.704082,-70.823006,True,0101000020E610000000000020ACB451C0000000601FDA40C0,4326
35,Calama police station,-22.459698,-68.9284,True,0101000020E6100000000000E06A3B51C0000000C0AE7536C0,4326
36,"Buenos Aires, Argentina",-34.60368,-58.38156,False,0101000020E610000000000000D7304DC000000060454D41C0,4326
37,Paine area,-33.812572,-70.737595,False,0101000020E6100000000000C034AF51C00000006002E840C0,4326
38,Tocopilla police station,-22.092983,-70.20041,True,0101000020E610000000000080D38C51C0000000C0CD1736C0,4326
38,Tocopilla police station,-22.092983,-70.20041,False,0101000020E610000000000080D38C51C0000000C0CD1736C0,4326
39,Sixth Telecommunications Regiment in Iquique,-20.21611,-70.13306,True,0101000020E610000000000000848851C000000000533734C0,4326
40,Laja police station,-37.27745,-72.71648,True,0101000020E6100000000000C0DA2D52C00000008083A342C0,4326
41,San Bernardo,-33.58545,-70.69874,False,0101000020E610000000000020B8AC51C000000000F0CA40C0,4326
42,along the road between Calama and Antofagasta,-23.110638,-69.5233,True,0101000020E6100000000000C07D6151C0000000C0521C37C0,4326
43,along the road between Calama and Antofagasta,-22.969467,-69.379486,False,0101000020E610000000000080495851C0000000002FF836C0,4326
44,Iquique,-20.2307,-70.13567,False,0101000020E6100000000000E0AE8851C0000000200F3B34C0,4326
45,Santa Bárbara police unit,-37.67003,-72.02661,True,0101000020E610000000000000B40152C000000080C3D542C0,4326
46,Los Angeles regiment,-37.457447,-72.35621,True,0101000020E610000000000020CC1652C0000000A08DBA42C0,4326
47,Province of Concepción,-36.82014,-73.04439,False,0101000020E610000000000040D74252C000000060FA6842C0,4326
48,Parral police station,-36.144318,-71.82252,True,0101000020E610000000000020A4F451C000000000791242C0,4326
49,"Mapocho River, Bulnes Bridge",-33.426575,-70.671425,True,0101000020E6100000000000A0F8AA51C0000000009AB640C0,4326
50,La Serena jail,-29.978672,-71.21661,True,0101000020E610000000000000DDCD51C0000000408AFA3DC0,4326
51,Isla de Maipo area,-33.74639,-70.90033,False,0101000020E6100000000000009FB951C0000000C089DF40C0,4326
52,Tejas Verdes,-33.61964,-71.60417,True,0101000020E6100000000000C0AAE651C00000006050CF40C0,4326
53,Copiacó regiment (now known as the Capitan Rafael Toreblanca Regiment),-27.37465,-70.318375,True,0101000020E610000000000040609451C000000000E95F3BC0,4326
54,Calama,-22.45439,-68.92938,False,0101000020E6100000000000007B3B51C0000000E0527436C0,4326
55,Temuco jail,-38.73291,-72.593834,True,0101000020E610000000000060012652C000000000D05D43C0,4326
56,Conchalí district,-33.38469,-70.68002,False,0101000020E61000000000008085AB51C0000000803DB140C0,4326
57,Colina Air Base,-33.220623,-70.687645,True,0101000020E61000000000006002AC51C0000000603D9C40C0,4326
58,Dupont explosives plant belonging to ENAEX,-22.515,-68.94806,True,0101000020E610000000000000AD3C51C000000000D78336C0,4326
59,Dupont police station,-22.50389,-68.93083,False,0101000020E6100000000000C0923B51C0000000E0FE8036C0,4326
60,Tocopilla,-22.0858,-70.19301,False,0101000020E6100000000000405A8C51C000000000F71536C0,4326
61,Osorno,-40.57619,-73.11495,False,0101000020E6100000000000605B4752C0000000A0C04944C0,4326
62,Trafún,-40.43334,-72.91554,False,0101000020E610000000000040983A52C0000000A0773744C0,4326
63,around the city of Lautaro,-38.516666,-72.45,False,0101000020E6100000000000C0CC1C52C000000020224243C0,4326
64,Linares Artillery School,-35.84007,-71.59117,True,0101000020E6100000000000C0D5E551C00000006087EB41C0,4326
65,machine shop of the train yard in San Bernardo,-33.5593,-70.69517,False,0101000020E6100000000000A07DAC51C00000002097C740C0,4326
66,in the street,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
67,Central Emergency Clinic,-33.443924,-70.638275,True,0101000020E610000000000080D9A851C000000080D2B840C0,4326
68,Las Condes district,-33.399014,-70.557304,False,0101000020E6100000000000E0AAA351C0000000E012B340C0,4326
69,Viña del Mar,-33.01535,-71.55003,False,0101000020E6100000000000C033E351C000000000F78140C0,4326
70,Antofagasta,-23.65093,-70.3975,False,0101000020E6100000000000A0709951C000000060A3A637C0,4326
71,Pilmaiquén police station,-40.65,-72.6167,False,0101000020E610000000000000782752C000000040335344C0,4326
72,near Pucón,-39.27225,-71.97763,False,0101000020E61000000000008091FE51C000000020D9A243C0,4326
73,Carmen y Maitenes estate,-37.57016,-72.07443,False,0101000020E610000000000080C30452C000000000FBC842C0,4326
