pk,location_id,location_n,place,location,latitude,longitude,exact_coordinates,geometry,srid
24fa6c116d423871fc7d9ea190a06e83,1,1,,Villa Grimaldi,-33.458244,-70.53889,True,0101000020E6100000000000207DA251C0000000C0A7BA40C0,4326
2a0acc575b0979d11c0f1295191eeca1,1,2,,Villa Grimaldi,-33.458244,-70.53889,True,0101000020E6100000000000207DA251C0000000C0A7BA40C0,4326
ef3ff2124192a1584925d0cc9d786df4,1,3,,Villa Grimaldi,-33.458244,-70.53889,True,0101000020E6100000000000207DA251C0000000C0A7BA40C0,4326
1013ded037d270cd4b554ec791fc3612,2,1,NA Occupation: either White Collar or Blue Collar.,Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
1a91376e0d2b235216496f16e25d46e7,2,1,"NA May have happened in Santiago, but it is uncertain",Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
53ad28bd3227b953103495625278d09f,2,1,,Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
fac3fce806396e6cd72e9fdf308df85b,2,2,,Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
0f7d67944b75c20685548491bb9b8c92,3,2,,Medical Legal Institue,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
3bf9ffdf3395580b314f1ba4f54c4c3f,3,2,NA Occupation: either Military or Non-military Government.,Medical Legal Institue,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
a265e720c5ccb98d67391b11b2ca4859,3,3,,Medical Legal Institue,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
f7e4f9f9aab843f71aeb1777ea1f8e7c,3,4,,Medical Legal Institue,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
31a1568fb6e8374c9fa7cb8105705a4a,4,2,,Londres No.38,-33.44432,-70.64819,True,0101000020E6100000000000007CA951C000000080DFB840C0,4326
48383f8c14136b859a60bd341ef33802,4,3,,Londres No.38,-33.44432,-70.64819,True,0101000020E6100000000000007CA951C000000080DFB840C0,4326
75c03923c3c60da9f1cd5fab1d9a40e3,4,1,,Londres No.38,-33.44432,-70.64819,True,0101000020E6100000000000007CA951C000000080DFB840C0,4326
ef7ba98a9a72fedc438c94375dede772,4,4,,Londres No.38,-33.44432,-70.64819,True,0101000020E6100000000000007CA951C000000080DFB840C0,4326
fd2904223263887ad2355482fe81f458,4,5,,Londres No.38,-33.44432,-70.64819,True,0101000020E6100000000000007CA951C000000080DFB840C0,4326
3b0464a4e5cdb60e773c57b6ee12edfc,5,3,,Cuatro Alamos,-33.51607,-70.75135,True,0101000020E61000000000002016B051C0000000A00EC240C0,4326
742ce967b649700f0595945843c834ba,5,2,,Cuatro Alamos,-33.51607,-70.75135,True,0101000020E61000000000002016B051C0000000A00EC240C0,4326
b65bbd01b57a86bec516af625220138b,5,4,,Cuatro Alamos,-33.51607,-70.75135,True,0101000020E61000000000002016B051C0000000A00EC240C0,4326
e04fb7afce85edc6777d705d62b656c8,5,1,,Cuatro Alamos,-33.51607,-70.75135,True,0101000020E61000000000002016B051C0000000A00EC240C0,4326
3149977d757e269cf5c1c9d7bb779333,6,2,,San Bernardo Infantry Regiment,-33.585205,-70.70082,True,0101000020E610000000000040DAAC51C000000000E8CA40C0,4326
8cfb3559ef070e4a57f75197d710ecb1,6,5,,San Bernardo Infantry Regiment,-33.585205,-70.70082,True,0101000020E610000000000040DAAC51C000000000E8CA40C0,4326
a0116c3856de144867128c73b10061fd,6,3,,San Bernardo Infantry Regiment,-33.585205,-70.70082,True,0101000020E610000000000040DAAC51C000000000E8CA40C0,4326
12728bb293717b6d102291d8da73427e,7,3,,Medical Legal Institute,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
2f82d6ea9a9c376e708c4ff9d825d1d8,7,6,,Medical Legal Institute,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
54ae867c953971458b200bfc6fa076df,7,4,,Medical Legal Institute,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
e41e1df6c2a6337d3032917dbdecf4fb,7,2,,Medical Legal Institute,-33.484123,-70.64641,True,0101000020E6100000000000C05EA951C0000000C0F7BD40C0,4326
2589b3157a9aba3d07b3700745584b1c,8,1,,La Moneda Palace,-33.442917,-70.65391,True,0101000020E6100000000000A0D9A951C000000080B1B840C0,4326
0606be589d166e6fd09ecacc06c85ad9,9,1,,Chile Stadium,-33.450516,-70.67477,True,0101000020E6100000000000602FAB51C000000080AAB940C0,4326
1a659d32f594d1121482a86e5c02403c,9,2,,Chile Stadium,-33.450516,-70.67477,True,0101000020E6100000000000602FAB51C000000080AAB940C0,4326
f4c7f94d8301e3629a8573ed6cb546f2,9,3,,Chile Stadium,-33.450516,-70.67477,True,0101000020E6100000000000602FAB51C000000080AAB940C0,4326
df0878aa01cfea1b477021a421385892,10,2,,Paine substation,-33.8075,-70.74139,True,0101000020E6100000000000E072AF51C0000000205CE740C0,4326
37c7118485359c94a2f43500b7c1ba18,11,3,,Pisagua prison camp,-19.59667,-70.21222,True,0101000020E610000000000000958D51C000000060BF9833C0,4326
b9a0c8b8d66e4e9db8e76c9773015b35,11,2,,Pisagua prison camp,-19.59667,-70.21222,True,0101000020E610000000000000958D51C000000060BF9833C0,4326
39da75bb1e47b6b4ff47726e2c1a4e3c,12,2,,La Venda Sexy,-33.48295,-70.58758,True,0101000020E6100000000000E09AA551C000000040D1BD40C0,4326
648d348b0611d7ed02e2c1a6df0cff18,13,1,,in the streets of Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
726097f05664216220d71b68f998efc2,14,1,,Chillán,-36.60626,-72.10234,False,0101000020E6100000000000C08C0652C0000000E0994D42C0,4326
0d7d3cf2ee5ec1157b3acdd329b77166,15,3,,Calama jail,-22.468716,-68.926636,True,0101000020E6100000000000004E3B51C0000000C0FD7736C0,4326
5e5f0aac2335e1e10a3d48a3c9e649af,15,1,,Calama jail,-22.468716,-68.926636,True,0101000020E6100000000000004E3B51C0000000C0FD7736C0,4326
9e35d49d3a7242b60f78a42ca305cb42,15,4,,Calama jail,-22.468716,-68.926636,True,0101000020E6100000000000004E3B51C0000000C0FD7736C0,4326
e46ffe3ce191137aec86b1b175ec7677,15,2,,Calama jail,-22.468716,-68.926636,True,0101000020E6100000000000004E3B51C0000000C0FD7736C0,4326
eeb0c21e3ced64ce16c688b2ae4cf108,16,1,,"Campo Lindo agricultural cooperative, 24 de Abril cooperative, Nuevo Sendero cooperative",-38.61668,-72.38339,False,0101000020E610000000000080891852C000000060EF4E43C0,4326
059896c348a3dfcee186825fa58a09cc,17,4,,Cerro Chena prison,-33.594036,-70.74274,False,0101000020E61000000000000089AF51C00000006009CC40C0,4326
18b2fe22c18259c50f24b7643e2e0f8e,17,3,,Cerro Chena prison,-33.594036,-70.74274,False,0101000020E61000000000000089AF51C00000006009CC40C0,4326
212028ce59cc7ddec89d85ebc1f4b967,18,2,,José Domingo Cañas,-33.45646,-70.61239,True,0101000020E61000000000006031A751C0000000406DBA40C0,4326
74d1bd4e8687879b22f497519fa63ff6,18,3,,José Domingo Cañas,-33.45646,-70.61239,True,0101000020E61000000000006031A751C0000000406DBA40C0,4326
0d6311c2f3789e8c4398e7df2ddda3da,19,3,,"San Juan Estate, located on the road between Laja and Yumbel",-37.17775,-72.56426,False,0101000020E6100000000000E01C2452C000000080C09642C0,4326
b35e6bf9fe8b4d7c526788d8331ddb5c,19,2,,"San Juan Estate, located on the road between Laja and Yumbel",-37.17775,-72.56426,False,0101000020E6100000000000E01C2452C000000080C09642C0,4326
e9516170edd7d8670f0dac2428af8375,19,2,NA Occupation: either White Collar or Blue Collar.,"San Juan Estate, located on the road between Laja and Yumbel",-37.17775,-72.56426,False,0101000020E6100000000000E01C2452C000000080C09642C0,4326
b4b7dfd1ee364b7be6e29eb3445eda24,20,1,,Valdivia,-39.81738,-73.24253,False,0101000020E6100000000000A0854F52C0000000E09FE843C0,4326
dae8a4a3553370208dba18f06bb08fe6,20,2,,Valdivia,-39.81738,-73.24253,False,0101000020E6100000000000A0854F52C0000000E09FE843C0,4326
27362707e47b4585baa9f7dab5e46b79,21,2,,Cerro Chena detention site,-33.594036,-70.74274,False,0101000020E61000000000000089AF51C00000006009CC40C0,4326
d2efe784e166cb92de461859ce94050d,22,1,,Baños de Chihuío estate (civilian property),-40.12454,-72.38085,True,0101000020E6100000000000E05F1852C0000000E0F00F44C0,4326
34a4534a6cb52cbfa04c7ee271b98f83,23,1,,downtown Santiago,-33.44889,-70.66927,False,0101000020E610000000000060D5AA51C00000004075B940C0,4326
76264a6f79960e5c8980ef6380b1b85b,24,2,,Arica Regiment,-29.90528,-71.23861,True,0101000020E61000000000006045CF51C000000060C0E73DC0,4326
da2e92e0a2cce4d57b30ccd5e3c87b9b,24,3,,Arica Regiment,-29.90528,-71.23861,True,0101000020E61000000000006045CF51C000000060C0E73DC0,4326
db99fdb633dcf1659e7aebbf53f7705a,24,4,,Arica Regiment,-29.90528,-71.23861,True,0101000020E61000000000006045CF51C000000060C0E73DC0,4326
ff9e386a977d443b3df07ed684035f05,24,5,,Arica Regiment,-29.90528,-71.23861,True,0101000020E61000000000006045CF51C000000060C0E73DC0,4326
6309d1b57051454eb60cca2c5d26b965,25,2,,Toltén River Bridge,-38.975548,-72.63464,True,0101000020E6100000000000009E2852C0000000C0DE7C43C0,4326
5a0049ec27752bcfaaeac7025a59ff0e,26,1,,Temuco,-38.7359,-72.59037,False,0101000020E6100000000000A0C82552C000000000325E43C0,4326
148291b9cbb94d2139b022b5d523f24d,27,2,,Los Angeles Regiment,-37.457447,-72.35621,True,0101000020E610000000000020CC1652C0000000A08DBA42C0,4326
1bcfc64cc5379a0387b0ba97125c8bcc,27,1,,Los Angeles Regiment,-37.457447,-72.35621,True,0101000020E610000000000020CC1652C0000000A08DBA42C0,4326
2f4b75b71040c695ea1ddb06e421d63e,27,4,,Los Angeles Regiment,-37.457447,-72.35621,True,0101000020E610000000000020CC1652C0000000A08DBA42C0,4326
